"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2023","288.73","281.51","289.67","278.95","51.09M","1.35%"
"06/22/2023","284.88","279.08","285.26","277.79","17.56M","1.15%"
"06/21/2023","281.64","283.53","284.00","278.36","20.56M","-0.95%"
"06/20/2023","284.33","278.73","284.80","276.22","20.70M","1.19%"
"06/16/2023","281.00","284.75","287.85","280.13","43.13M","-0.29%"
"06/15/2023","281.83","272.30","283.99","271.42","25.97M","3.10%"
"06/14/2023","273.35","271.89","274.99","268.32","19.18M","0.75%"
"06/13/2023","271.32","274.88","275.72","269.09","16.16M","0.10%"
"06/12/2023","271.05","267.17","271.75","265.33","15.47M","2.30%"
"06/09/2023","264.95","262.48","267.95","261.70","16.95M","0.14%"
"06/08/2023","264.58","260.62","267.65","258.88","20.90M","0.37%"
"06/07/2023","263.60","271.67","274.25","262.80","26.16M","-2.77%"
"06/06/2023","271.12","270.14","276.57","269.69","19.42M","-0.10%"
"06/05/2023","271.39","270.30","275.57","269.56","20.74M","-0.45%"
"06/02/2023","272.61","272.66","275.35","271.12","19.42M","0.00%"
"06/01/2023","272.61","265.90","274.00","265.89","25.61M","2.98%"
"05/31/2023","264.72","260.00","265.00","258.45","25.47M","0.84%"
"05/30/2023","262.52","265.25","268.65","261.29","23.82M","0.18%"
"05/26/2023","262.04","252.93","262.31","252.71","25.77M","3.70%"
"05/25/2023","252.69","253.40","255.62","249.17","22.37M","1.40%"
"05/24/2023","249.21","245.28","249.59","244.95","17.72M","1.00%"
"05/23/2023","246.74","246.81","251.61","246.65","17.75M","-0.64%"
"05/22/2023","248.32","245.41","253.57","245.12","27.74M","1.09%"
"05/19/2023","245.64","247.47","248.69","243.41","21.73M","-0.49%"
"05/18/2023","246.85","241.30","247.09","241.19","22.94M","1.80%"
"05/17/2023","242.49","238.45","243.84","238.14","21.19M","1.53%"
"05/16/2023","238.82","235.79","239.63","235.52","18.16M","-0.02%"
"05/15/2023","238.86","236.92","240.26","235.33","20.65M","2.16%"
"05/12/2023","233.81","236.74","236.96","231.45","16.16M","-0.84%"
"05/11/2023","235.79","233.05","238.21","232.30","20.45M","1.16%"
"05/10/2023","233.08","236.17","236.75","230.72","19.12M","-0.12%"
"05/09/2023","233.37","231.46","235.88","231.08","16.87M","0.04%"
"05/08/2023","233.27","231.41","235.62","230.27","16.40M","0.21%"
"05/05/2023","232.78","232.24","234.68","229.85","27.00M","-0.32%"
"05/04/2023","233.52","236.06","238.20","232.93","17.89M","-1.48%"
"05/03/2023","237.03","239.47","241.75","232.75","34.46M","-0.92%"
"05/02/2023","239.24","243.18","244.92","238.99","24.35M","-1.62%"
"05/01/2023","243.18","238.62","244.00","236.46","29.14M","1.19%"
"04/28/2023","240.32","239.01","240.43","235.75","39.55M","0.74%"
"04/27/2023","238.56","239.89","241.68","236.77","71.20M","13.93%"
"04/26/2023","209.40","212.50","214.11","208.88","41.99M","0.89%"
"04/25/2023","207.55","210.82","211.26","207.13","19.20M","-2.46%"
"04/24/2023","212.79","213.68","213.92","210.71","15.75M","-0.05%"
"04/21/2023","212.89","210.21","213.41","209.58","17.72M","-0.08%"
"04/20/2023","213.07","213.48","216.75","212.77","16.48M","-1.22%"
"04/19/2023","215.70","213.47","217.33","212.93","15.90M","-1.01%"
"04/18/2023","217.89","219.91","220.44","216.21","12.28M","-0.44%"
"04/17/2023","218.86","219.79","220.98","217.13","15.48M","-1.19%"
"04/14/2023","221.49","217.88","222.11","217.55","21.59M","0.52%"
"04/13/2023","220.35","215.73","221.15","215.69","23.31M","2.97%"
"04/12/2023","214.00","214.84","216.84","212.58","18.97M","0.07%"
"04/11/2023","213.85","215.48","216.02","213.41","16.71M","-0.42%"
"04/10/2023","214.75","214.71","215.66","210.66","16.11M","-0.62%"
"04/06/2023","216.10","209.25","216.94","208.65","26.10M","2.18%"
"04/05/2023","211.48","214.15","215.19","209.94","19.40M","-1.51%"
"04/04/2023","214.72","213.39","216.24","212.54","21.03M","0.77%"
"04/03/2023","213.07","208.84","213.49","208.20","17.92M","0.53%"
