"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2023","374.66","375.00","376.94","373.50","12.67M","0.02%"
"12/22/2023","374.58","373.68","375.18","372.71","17.11M","0.28%"
"12/21/2023","373.54","372.56","374.41","370.04","17.71M","0.79%"
"12/20/2023","370.62","375.00","376.03","370.53","26.32M","-0.71%"
"12/19/2023","373.26","371.49","373.26","369.84","20.60M","0.16%"
"12/18/2023","372.65","369.45","373.00","368.68","21.80M","0.52%"
"12/15/2023","370.73","366.85","372.40","366.28","78.50M","1.31%"
"12/14/2023","365.93","373.31","373.76","364.13","43.28M","-2.25%"
"12/13/2023","374.37","376.02","377.64","370.77","30.96M","0.00%"
"12/12/2023","374.38","370.85","374.42","370.46","24.84M","0.83%"
"12/11/2023","371.30","368.48","371.60","366.10","27.71M","-0.78%"
"12/08/2023","374.23","369.20","374.46","368.23","20.15M","0.88%"
"12/07/2023","370.95","368.23","371.45","366.32","23.12M","0.58%"
"12/06/2023","368.80","373.54","374.18","368.03","21.18M","-1.00%"
"12/05/2023","372.52","366.45","373.08","365.62","23.07M","0.92%"
"12/04/2023","369.14","369.10","369.52","362.90","32.06M","-1.43%"
"12/01/2023","374.51","376.76","378.16","371.31","33.04M","-1.16%"
"11/30/2023","378.91","378.49","380.09","375.47","30.55M","0.02%"
"11/29/2023","378.85","383.76","384.30","377.44","28.96M","-1.01%"
"11/28/2023","382.70","378.35","383.00","378.16","20.45M","1.08%"
"11/27/2023","378.61","376.78","380.64","376.20","22.18M","0.31%"
"11/24/2023","377.43","377.33","377.97","375.14","10.18M","-0.11%"
"11/22/2023","377.85","378.00","379.79","374.96","23.36M","1.28%"
"11/21/2023","373.07","375.67","376.22","371.12","28.42M","-1.16%"
"11/20/2023","377.44","371.22","378.87","371.00","52.53M","2.05%"
"11/17/2023","369.85","373.61","374.37","367.00","40.33M","-1.68%"
"11/16/2023","376.17","370.96","376.35","370.18","27.18M","1.76%"
"11/15/2023","369.67","371.28","373.13","367.11","26.86M","-0.16%"
"11/14/2023","370.27","371.01","371.95","367.35","27.68M","0.98%"
"11/13/2023","366.68","368.22","368.47","365.90","19.99M","-0.81%"
"11/10/2023","369.67","361.49","370.10","361.07","28.07M","2.49%"
"11/09/2023","360.69","362.30","364.79","360.36","24.85M","-0.69%"
"11/08/2023","363.20","361.68","363.87","360.55","26.77M","0.74%"
"11/07/2023","360.53","359.40","362.46","357.63","25.83M","1.12%"
"11/06/2023","356.53","353.45","357.54","353.35","23.83M","1.06%"
"11/03/2023","352.80","349.63","354.39","347.33","23.64M","1.29%"
"11/02/2023","348.32","347.24","348.83","344.77","24.35M","0.65%"
"11/01/2023","346.07","339.79","347.42","339.65","28.16M","2.35%"
"10/31/2023","338.11","338.85","339.00","334.69","20.27M","0.24%"
