"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2024","96.95","96.72","97.02","96.41","20.09M","0.15%"
"01/18/2024","96.80","97.00","97.09","95.82","20.94M","-0.19%"
"01/17/2024","96.98","96.60","97.96","96.58","18.38M","-0.73%"
"01/16/2024","97.69","99.82","100.01","97.53","20.24M","-2.26%"
"01/12/2024","99.95","100.14","100.65","99.17","18.04M","1.30%"
"01/11/2024","98.67","99.04","99.50","98.56","15.83M","-0.02%"
"01/10/2024","98.69","99.80","99.80","98.16","18.21M","-0.98%"
"01/09/2024","99.67","101.29","101.29","99.19","19.50M","-1.24%"
"01/08/2024","100.92","100.73","101.04","98.90","23.37M","-1.67%"
"01/05/2024","102.63","103.17","103.40","102.13","15.83M","0.30%"
"01/04/2024","102.32","104.08","104.57","102.05","19.40M","-0.87%"
"01/03/2024","103.22","102.27","103.62","101.66","23.49M","0.84%"
"01/02/2024","102.36","100.92","103.10","100.85","23.48M","2.38%"
"12/29/2023","99.98","100.37","100.59","99.62","17.75M","-0.21%"
"12/28/2023","100.19","101.39","101.61","100.13","16.33M","-1.45%"
"12/27/2023","101.66","102.04","102.55","101.33","14.56M","-0.47%"
"12/26/2023","102.14","102.74","103.03","102.11","16.84M","0.23%"
"12/22/2023","101.91","102.31","102.94","101.82","12.93M","0.18%"
"12/21/2023","101.73","101.47","102.00","100.81","19.25M","0.45%"
"12/20/2023","101.27","103.50","103.94","101.13","20.99M","-1.67%"
"12/19/2023","102.99","102.00","103.19","101.79","18.90M","1.32%"
"12/18/2023","101.65","102.13","103.11","101.52","21.61M","0.74%"
"12/15/2023","100.90","100.59","101.00","100.31","55.53M","-0.67%"
"12/14/2023","101.58","99.85","102.14","99.72","26.17M","2.69%"
"12/13/2023","98.92","98.04","99.03","97.65","19.92M","0.89%"
"12/12/2023","98.05","98.68","98.68","97.48","26.08M","-1.58%"
"12/11/2023","99.62","99.80","99.86","98.58","22.25M","0.07%"
"12/08/2023","99.55","99.02","99.79","98.75","22.07M","1.15%"
"12/07/2023","98.42","99.86","100.83","98.09","29.99M","-0.70%"
"12/06/2023","99.11","100.00","100.72","98.34","31.15M","-1.32%"
"12/05/2023","100.44","102.27","102.34","100.29","22.25M","-1.94%"
"12/04/2023","102.43","102.13","103.36","101.59","21.52M","-0.54%"
"12/01/2023","102.99","102.50","104.22","102.22","17.85M","0.24%"
"11/30/2023","102.74","103.11","104.48","101.81","29.25M","0.39%"
"11/29/2023","102.34","104.27","104.58","101.64","26.80M","-1.50%"
"11/28/2023","103.90","104.24","104.91","103.88","20.63M","-0.06%"
"11/27/2023","103.96","104.10","104.40","103.18","18.01M","-0.58%"
"11/24/2023","104.57","104.02","105.46","103.91","9.48M","0.54%"
"11/22/2023","104.01","102.58","104.12","101.94","18.07M","-0.43%"
"11/21/2023","104.46","104.21","104.69","103.21","14.99M","-0.04%"
"11/20/2023","104.50","105.38","105.88","104.43","17.46M","-0.44%"
"11/17/2023","104.96","103.06","105.43","102.75","22.99M","2.44%"
"11/16/2023","102.46","102.90","103.27","101.15","22.47M","-1.16%"
"11/15/2023","103.66","103.96","105.15","103.50","20.14M","-0.60%"
"11/14/2023","104.29","104.30","104.82","103.87","18.26M","-0.52%"
"11/13/2023","104.84","104.05","105.14","103.81","15.31M","1.05%"
"11/10/2023","103.75","103.93","104.41","102.90","17.83M","0.77%"
"11/09/2023","102.96","103.67","103.97","102.86","18.38M","0.03%"
"11/08/2023","102.93","103.73","104.90","102.89","19.18M","-1.23%"
"11/07/2023","104.21","104.47","104.86","103.29","20.27M","-1.57%"
"11/06/2023","105.87","108.17","108.27","105.77","19.10M","-1.77%"
"11/03/2023","107.78","108.40","108.78","106.54","30.56M","-1.22%"
"11/02/2023","109.11","105.88","109.19","105.50","25.21M","3.28%"
"11/01/2023","105.64","106.53","107.17","105.46","28.98M","-0.20%"
"10/31/2023","105.85","105.58","106.16","104.54","22.19M","-0.03%"
"10/30/2023","105.88","105.74","106.42","105.21","19.38M","0.31%"
"10/27/2023","105.55","108.89","109.86","104.96","23.09M","-1.91%"
"10/26/2023","107.60","107.45","108.34","106.50","18.77M","-0.91%"
"10/25/2023","108.59","108.52","109.50","108.13","22.05M","0.18%"
"10/24/2023","108.39","109.70","109.82","108.12","16.79M","-0.97%"
"10/23/2023","109.45","110.63","110.96","108.68","18.18M","-1.47%"
"10/20/2023","111.08","112.92","113.32","110.79","22.45M","-1.72%"
"10/19/2023","113.02","112.72","113.96","111.32","20.97M","0.06%"
"10/18/2023","112.95","111.82","113.39","111.70","23.38M","1.40%"
"10/17/2023","111.39","109.73","111.80","109.68","19.78M","1.31%"
"10/16/2023","109.95","110.50","110.68","109.13","18.45M","0.07%"
"10/13/2023","109.87","108.03","110.20","107.84","30.29M","3.19%"
"10/12/2023","106.47","107.59","107.84","106.09","31.18M","-0.02%"
"10/11/2023","106.49","106.96","107.17","104.83","57.94M","-3.59%"
"10/10/2023","110.45","111.02","111.45","110.12","13.89M","-0.42%"
"10/09/2023","110.92","110.44","112.07","109.52","22.37M","3.50%"
"10/06/2023","107.17","105.73","108.27","105.11","25.37M","-1.67%"
"10/05/2023","108.99","109.80","110.90","108.70","20.13M","-2.25%"
"10/04/2023","111.50","114.05","114.09","110.50","19.62M","-3.74%"
"10/03/2023","115.83","115.44","116.44","115.03","13.30M","0.17%"
"10/02/2023","115.63","117.53","117.79","114.55","14.39M","-1.66%"
"09/29/2023","117.58","119.10","119.18","116.73","18.81M","-1.58%"
"09/28/2023","119.47","119.98","120.70","118.19","16.81M","-0.61%"
"09/27/2023","120.20","117.89","120.50","117.40","23.98M","3.26%"
"09/26/2023","116.41","115.50","116.73","115.37","11.81M","0.15%"
"09/25/2023","116.23","115.09","116.64","114.83","11.32M","1.12%"
"09/22/2023","114.94","115.71","116.68","114.81","13.20M","0.16%"
"09/21/2023","114.76","116.98","117.37","114.60","14.41M","-1.41%"
"09/20/2023","116.40","116.54","118.02","116.32","11.88M","-0.79%"
"09/19/2023","117.33","118.62","118.84","116.61","12.57M","-0.26%"
"09/18/2023","117.64","117.53","118.24","116.70","14.05M","0.81%"
"09/15/2023","116.70","117.90","118.51","116.50","34.57M","-1.54%"
"09/14/2023","118.52","117.55","118.66","117.33","15.21M","1.79%"
"09/13/2023","116.44","117.41","117.96","115.90","13.47M","-0.89%"
"09/12/2023","117.49","115.34","117.67","115.27","20.15M","2.92%"
"09/11/2023","114.16","116.18","116.68","113.57","14.38M","-1.25%"
"09/08/2023","115.61","114.53","116.05","114.32","14.29M","1.46%"
"09/07/2023","113.95","114.65","115.85","113.70","13.25M","-0.49%"
"09/06/2023","114.51","113.48","114.59","113.23","13.33M","0.86%"
"09/05/2023","113.53","114.10","115.82","113.50","18.30M","0.01%"
"09/01/2023","113.52","112.20","113.82","112.20","14.84M","2.10%"
"08/31/2023","111.19","111.12","111.42","110.61","17.48M","0.28%"
"08/30/2023","110.88","110.44","111.14","109.98","11.92M","0.97%"
"08/29/2023","109.81","109.66","110.02","108.42","9.67M","0.60%"
"08/28/2023","109.16","108.45","110.04","108.44","10.38M","0.84%"
"08/25/2023","108.25","107.43","108.93","106.62","13.58M","1.79%"
"08/24/2023","106.35","106.42","107.76","106.07","10.82M","-0.75%"
"08/23/2023","107.15","107.04","107.30","105.72","11.44M","-0.88%"
"08/22/2023","108.10","109.17","109.72","107.95","10.52M","-0.56%"
"08/21/2023","108.71","110.36","110.98","108.14","11.09M","-1.21%"
"08/18/2023","110.04","107.64","110.19","107.62","16.22M","1.51%"
"08/17/2023","108.40","107.42","110.14","107.42","16.71M","1.94%"
"08/16/2023","106.34","108.28","109.33","106.28","13.70M","-1.68%"
"08/15/2023","108.16","110.75","110.86","107.96","14.91M","-3.36%"
"08/14/2023","111.92","111.68","111.98","110.78","12.97M","0.08%"
"08/11/2023","111.83","110.37","112.07","110.05","14.05M","1.55%"
"08/10/2023","110.12","110.19","111.63","109.44","15.84M","0.51%"
"08/09/2023","109.56","108.71","110.42","108.31","19.92M","1.70%"
"08/08/2023","107.73","106.04","107.75","104.83","14.07M","0.49%"
"08/07/2023","107.20","107.90","108.42","106.50","12.41M","-0.20%"
"08/04/2023","107.42","107.96","109.24","107.33","14.28M","0.28%"
"08/03/2023","107.12","105.89","107.88","105.30","16.28M","1.74%"
"08/02/2023","105.29","106.26","106.38","104.57","13.49M","-1.25%"
"08/01/2023","106.62","106.95","107.32","105.53","14.21M","-0.58%"
"07/31/2023","107.24","105.19","107.86","105.19","24.20M","2.96%"
"07/28/2023","104.16","105.11","105.16","102.32","17.57M","-1.20%"
"07/27/2023","105.42","106.00","106.99","104.74","17.68M","0.31%"
"07/26/2023","105.09","105.11","105.72","104.64","15.16M","-0.56%"
"07/25/2023","105.68","105.06","106.09","104.54","14.12M","0.15%"
"07/24/2023","105.52","104.36","106.16","103.96","15.09M","1.57%"
"07/21/2023","103.89","104.16","104.38","103.26","17.12M","0.46%"
"07/20/2023","103.41","102.54","103.66","102.36","15.74M","1.76%"
"07/19/2023","101.62","101.05","102.40","100.80","15.56M","0.69%"
"07/18/2023","100.92","100.92","102.20","100.34","24.62M","-0.45%"
"07/17/2023","101.38","100.72","101.67","100.22","18.06M","0.44%"
"07/14/2023","100.94","104.05","104.05","100.53","28.18M","-3.44%"
"07/13/2023","104.54","105.97","106.23","103.32","26.83M","-1.83%"
"07/12/2023","106.49","107.00","107.65","106.13","13.24M","0.49%"
"07/11/2023","105.97","105.26","106.16","104.81","12.58M","1.22%"
